Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,2-alpha code,WB-2 code,Table Name,Short Name
LAO,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific,IDA,,Lao kip,2015,"Multiple Indicator Cluster Survey, 2017","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2012",,2010-2011,1999,2016,LA,LA,Lao PDR,Lao PDR
LVA,Republic of Latvia,High income,Europe & Central Asia,,Euro area,Euro,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2013,2018,LV,LV,Latvia,Latvia
LBN,Lebanese Republic,Lower middle income,Middle East & North Africa,IBRD,,Lebanese pound,1943,"Family Health Survey, 2004","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1984-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2011 and 2017 based on a regression model,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2011/12",Yes,2010,2007,2018,LB,LB,Lebanon,Lebanon
LSO,Kingdom of Lesotho,Lower middle income,Sub-Saharan Africa,IDA,,Lesotho loti,2016,"Multiple Indicator Cluster Survey, 2018",Fiscal year end: March 31; reporting period for national accounts data: CY.,2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2010",,2010,1985,2017,LS,LS,Lesotho,Lesotho
LBR,Republic of Liberia,Low income,Sub-Saharan Africa,IDA,HIPC,Liberian dollar,2020 (expected),"Demographic and Health Survey, 2019/20",National accounts data are provided in the US dollar.,2016,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2014",,,,,LR,LR,Liberia,Liberia
LBY,Socialist People's Libyan Arab Jamahiriya,Upper middle income,Middle East & North Africa,IBRD,,Libyan dinar,2006,"STEPS Risk Factor Survey, 2010",,2013,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2011 and 2017 based on a regression model,BPM6,,,,Enhanced General Data Dissemination System (e-GDDS),,,,1980,2010,LY,LY,Libya,Libya
LIE,Principality of Liechtenstein,High income,Europe & Central Asia,,,Swiss franc,"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,,1998,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,,,Special trade system,,,,Yes,,,,LI,LI,Liechtenstein,Liechtenstein
LTU,Republic of Lithuania,High income,Europe & Central Asia,,Euro area,Euro,"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,LT,LT,Lithuania,Lithuania
LUX,Grand Duchy of Luxembourg,High income,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2013,2018,LU,LU,Luxembourg,Luxembourg
MAC,Macao Special Administrative Region of the People's Republic of China,High income,East Asia & Pacific,,,Macao pataca,2016,,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",Original chained constant price data are rescaled.,2021,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),2011,BPM6,,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),,Yes,,2013,2016,MO,MO,"Macao SAR, China","Macao SAR, China"
MDG,Republic of Madagascar,Low income,Sub-Saharan Africa,IDA,HIPC,Malagasy ariary,2018,"Demographic and Health Survey, 2021",,2007,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2012",,,2006,2018,MG,MG,Madagascar,Madagascar
MWI,Republic of Malawi,Low income,Sub-Saharan Africa,IDA,HIPC,Malawi kwacha,2018,"Fifth Integrated Household Survey 2019-2020; Multiple Indicator Cluster Survey, 2019/20",,2017,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2006-2007,2012,2017,MW,MW,Malawi,Malawi
MYS,Malaysia,Upper middle income,East Asia & Pacific,IBRD,,Malaysian ringgit,2020 (expected),"World Health Survey, 2003",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,"2015. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",2012,2018,MY,MY,Malaysia,Malaysia
MDV,Republic of Maldives,Upper middle income,South Asia,IDA,,Maldivian rufiyaa,2014,"Demographic and Health Survey, 2016/17",,2019,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2009/10",Yes,,,2018,MV,MV,Maldives,Maldives
MLI,Republic of Mali,Low income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2020 (expected),"Demographic and Health Survey, 2018",,1999,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2009/10",,,,2017,ML,ML,Mali,Mali
MLT,Republic of Malta,High income,Middle East & North Africa,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,2010,2009,2018,MT,MT,Malta,Malta
MHL,Republic of the Marshall Islands,Upper middle income,East Asia & Pacific,IDA,,U.S. dollar,2020 (expected),"Republic of the Marshall Islands Demographic and Health Survey, 2007",Fiscal year ends on September 30; reporting period for national accounts data: FY.,2014/15,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),BPM6,,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),,,,,,MH,MH,Marshall Islands,Marshall Islands
MRT,Islamic Republic of Mauritania,Lower middle income,Sub-Saharan Africa,IDA,HIPC,Mauritanian ouguiya,2013,"Demographic and Health Survey, 2019/20",National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya),2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2014",,,,2017,MR,MR,Mauritania,Mauritania
MUS,Republic of Mauritius,Upper middle income,Sub-Saharan Africa,IBRD,,Mauritian rupee,2020 (expected),"World Health Survey, 2003",,2018,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2012",Yes,2014,2012,2018,MU,MU,Mauritius,Mauritius
MEX,United Mexican States,Upper middle income,Latin America & Caribbean,IBRD,,Mexican peso,2020 (expected),"Multiple Indicator Cluster Survey, 2015",,2018,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2007,2013,2018,MX,MX,Mexico,Mexico
FSM,Federated States of Micronesia,Lower middle income,East Asia & Pacific,IDA,,U.S. dollar,2020 (expected),,Fiscal year ends on September 30; reporting period for national accounts data: FY. The source for national accounts data is the Pacific and Virgin Islands Training Initiative.,2003/04,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),BPM6,,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2013",,,,2013,FM,FM,"Micronesia, Fed. Sts.",Micronesia
MDA,Republic of Moldova,Upper middle income,Europe & Central Asia,IBRD,,Moldovan leu,2014,"Multiple Indicator Cluster Survey, 2012","Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2017",Yes,2011,2012,2018,MD,MD,Moldova,Moldova
MCO,Principality of Monaco,High income,Europe & Central Asia,,,Euro,2016. Population figures compiled from administrative registers.,,,Original chained constant price data are rescaled.,2014,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,,,,,,,Yes,,,,MC,MC,Monaco,Monaco
MNG,Mongolia,Lower middle income,East Asia & Pacific,IBRD,,Mongolian tugrik,2020,"Multiple Indicator Cluster Survey, 2018","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1991-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2011,2011,2018,MN,MN,Mongolia,Mongolia
MNE,Montenegro,Upper middle income,Europe & Central Asia,IBRD,,Euro,2011,"Multiple Indicator Cluster Survey, 2018","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,,2018,ME,ME,Montenegro,Montenegro
MAR,Kingdom of Morocco,Lower middle income,Middle East & North Africa,IBRD,,Moroccan dirham,2014,"Morocco National Survey on Population and Family Health, 2010/11",,2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2011, annual estimation for 2014-2017",BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2013",,,2013,2018,MA,MA,Morocco,Morocco
MOZ,Republic of Mozambique,Low income,Sub-Saharan Africa,IDA,HIPC,New Mozambican metical,2017,"Malaria Indicator Survey, 2018",,2019,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2014",,2009-2010,1973,2018,MZ,MZ,Mozambique,Mozambique
MMR,Republic of the Union of Myanmar,Lower middle income,East Asia & Pacific,IDA,,Myanmar kyat,2014,"Demographic and Health Survey, 2015/16","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	  

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2014. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015",,2010,,2018,MM,MM,Myanmar,Myanmar
NAM,Republic of Namibia,Upper middle income,Sub-Saharan Africa,IBRD,,Namibian dollar,2011,"Demographic and Health Survey, 2013",Fiscal year end: March 31; reporting period for national accounts data: CY.,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2015",,2013-2014,2013,2018,NA,NA,Namibia,Namibia
NRU,Republic of Nauru,High income,East Asia & Pacific,IBRD,,Australian dollar,2011,"Nauru Demographic and Health Survey, 2007","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2013,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),,,,,,,Yes,,,,NR,NR,Nauru,Nauru
NPL,Nepal,Lower middle income,South Asia,IDA,,Nepalese rupee,2011,"Multiple Indicator Cluster Survey, 2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 14). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2010/11,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2010/11",,2011-2012,2011,2017,NP,NP,Nepal,Nepal
NLD,Kingdom of the Netherlands,High income,Europe & Central Asia,,Euro area,Euro,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,NL,NL,Netherlands,Netherlands
NCL,New Caledonia,High income,East Asia & Pacific,,,CFP franc,2019,,,2017,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),BPM6,,General trade system,,,,Yes,,,2015,NC,NC,New Caledonia,New Caledonia
NZL,New Zealand,High income,East Asia & Pacific,,,New Zealand dollar,2018,,Fiscal year end: March 31; reporting period for national accounts data: CY.,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,General trade system,,,,Yes,2012,2012,2018,NZ,NZ,New Zealand,New Zealand
NIC,Republic of Nicaragua,Lower middle income,Latin America & Caribbean,IDA,HIPC,Nicaraguan gold cordoba,2020 (expected),"Reproductive Health Survey, 2006/2007","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Original chained constant price data are rescaled.,2006,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2016",,2011,1985,2018,NI,NI,Nicaragua,Nicaragua
NER,Republic of Niger,Low income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2012,"Demographic and Health Survey, 2017",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014",,2004-2008,2002,2016,NE,NE,Niger,Niger
NGA,Federal Republic of Nigeria,Lower middle income,Sub-Saharan Africa,Blend,,Nigerian naira,2020 (expected),"Living Standards Survey 2018-2019; General Household Survey, Panel 2018-2019","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1970-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2009/10",,"2007. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996,2018,NG,NG,Nigeria,Nigeria
MKD,Republic of North Macedonia,Upper middle income,Europe & Central Asia,IBRD,,Macedonian denar,2020 (expected),"Multiple Indicator Cluster Survey, 2018/19",,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2017",Yes,2007,2010,2018,MK,MK,North Macedonia,North Macedonia
MNP,Commonwealth of the Northern Mariana Islands,High income,East Asia & Pacific,,,U.S. dollar,2020 (expected),,,2012,,Country uses the 1968 System of National Accounts methodology,,2011 (Only for individual consumption expenditure by households),,,,,,,Yes,2007,,,MP,MP,Northern Mariana Islands,Northern Mariana Islands
NOR,Kingdom of Norway,High income,Europe & Central Asia,,,Norwegian krone,2011. Population figures compiled from administrative registers.,,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2014",Yes,2010,2014,2018,NO,NO,Norway,Norway
OMN,Sultanate of Oman,High income,Middle East & North Africa,,,Omani rial,2020 (expected),"Multiple Indicator Cluster Survey, 2014",,2018,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Annual estimation for 2011-2017,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),,,2012-2013,2014,2018,OM,OM,Oman,Oman
PAK,Islamic Republic of Pakistan,Lower middle income,South Asia,Blend,,Pakistani rupee,2017,"Pakistan Maternal Mortality Survey
Other Data , 2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2015/16,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2014/15",,2010,2006,2018,PK,PK,Pakistan,Pakistan
PLW,Republic of Palau,Upper middle income,East Asia & Pacific,IBRD,,U.S. dollar,2015,,Fiscal year ends on September 30; reporting period for national accounts data: FY.,2019,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2006",Yes,,,2018,PW,PW,Palau,Palau
PAN,Republic of Panama,High income,Latin America & Caribbean,IBRD,,Panamanian balboa,2020 (expected),"Multiple Indicator Cluster Survey, 2013",,Original chained constant price data are rescaled.,2018,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",Yes,2011,2001,2016,PA,PA,Panama,Panama
PNG,The Independent State of Papua New Guinea,Lower middle income,East Asia & Pacific,Blend,,Papua New Guinea kina,2020 (expected),"Demographic and Health Survey, 2016/18",,2013,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011 (Only for individual consumption expenditure by households),BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2009/10",,,1987,2012,PG,PG,Papua New Guinea,Papua New Guinea
PRY,Republic of Paraguay,Upper middle income,Latin America & Caribbean,IBRD,,Paraguayan guarani,2012,"Multiple Indicator Cluster Survey, 2016","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1982-1988. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2017",,2008,2010,2018,PY,PY,Paraguay,Paraguay
PER,Republic of Peru,Upper middle income,Latin America & Caribbean,IBRD,,Peruvian new sol,2017,"Continuous Demographic and Health Survey, 2014","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2007,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",,2012,2011,2018,PE,PE,Peru,Peru
PHL,Republic of the Philippines,Lower middle income,East Asia & Pacific,IBRD,,Philippine peso,2020 (expected),"Demographic and Health Survey, 2017",,2018,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2015",Yes,2012,2012,2018,PH,PH,Philippines,Philippines
POL,Republic of Poland,High income,Europe & Central Asia,IBRD,,Polish zloty,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2016",Yes,2010,2013,2018,PL,PL,Poland,Poland
PRT,Portuguese Republic,High income,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),,Yes,2009,2014,2018,PT,PT,Portugal,Portugal
