Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data
LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,Bureau of Census and Statistics revised national accounts from 2010-2015. Value added is in basic prices; prior to 2010 in producer prices.,South Asia,Lower middle income,LK,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2012,"Demographic and Health Survey, 2006/07","Expenditure survey/budget survey (ES/BS), 2012/13",Yes,2013,2012,2017
LMC,Lower middle income,Lower middle income,Lower middle income,XN,,,,,XN,,,,,,,,,,,,,,,,,,,,2016
LMY,Low & middle income,Low & middle income,Low & middle income,XO,,,,,XO,,,,,,,,,,,,,,,,,,,,2016
LSO,Lesotho,Lesotho,Kingdom of Lesotho,LS,Lesotho loti,Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2012.,Sub-Saharan Africa,Lower middle income,LS,2012,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2016,"Demographic and Health Survey, 2014","Expenditure survey/budget survey (ES/BS), 2010",,2010,1985,2017
LTE,Late-demographic dividend,Late-demographic dividend,Late-demographic dividend,V3,,,,,V3,,,,,,,,,,,,,,,,,,,,2016
LTU,Lithuania,Lithuania,Republic of Lithuania,LT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Europe & Central Asia,High income,LT,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,1990–95,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),"2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,2014,2017
LUX,Luxembourg,Luxembourg,Grand Duchy of Luxembourg,LU,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,LU,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2014",Yes,2010,2013,2017
LVA,Latvia,Latvia,Republic of Latvia,LV,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Europe & Central Asia,High income,LV,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,1987–95,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.","World Health Survey, 2003","Integrated household survey (IHS), 2014",Yes,2010,2013,2017
MAC,"Macao SAR, China","Macao SAR, China",Macao Special Administrative Region of the People's Republic of China,MO,Macao pataca,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",East Asia & Pacific,High income,MO,Original chained constant price data are rescaled.,2016,Value added at producer prices (VAP),,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2016,,,Yes,,2013,2017
MAF,St. Martin (French part),St. Martin (French part),St. Martin (French part),MF,Euro,,Latin America & Caribbean,High income,MF,,,,,,,,,,,,,,2015,,,,,,2015
MAR,Morocco,Morocco,Kingdom of Morocco,MA,Moroccan dirham,,Middle East & North Africa,Lower middle income,MA,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2014,"Morocco National Survey on Population and Family Health, 2011","Expenditure survey/budget survey (ES/BS), 2007",,,2013,2017
MCO,Monaco,Monaco,Principality of Monaco,MC,Euro,,Europe & Central Asia,High income,MC,1990,,,,,,,,,,Special trade system,,,2008. Population data compiled from administrative registers.,,,Yes,,,
MDA,Moldova,Moldova,Republic of Moldova,MD,Moldovan leu,,Europe & Central Asia,Lower middle income,MD,2000,,Value added at basic prices (VAB),Blend,,,1990–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2015",Yes,2011,2012,2017
MDG,Madagascar,Madagascar,Republic of Madagascar,MG,Malagasy ariary,,Sub-Saharan Africa,Low income,MG,1984,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1993,"Malaria Indicator Survey, 2016","Priority survey (PS), 2012",,,2006,2017
MDV,Maldives,Maldives,Republic of Maldives,MV,Maldivian rufiyaa,New Base year 2014,South Asia,Upper middle income,MV,2014,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2009","Integrated household survey (IHS), 2009/10",Yes,,,2017
MEA,Middle East & North Africa,Middle East & North Africa,Middle East & North Africa,ZQ,,Middle East and North Africa regional aggregate (includes all income levels).,,,ZQ,,,,,,,,,,,,,,,,,,,,2016
MEX,Mexico,Mexico,United Mexican States,MX,Mexican peso,,Latin America & Caribbean,Upper middle income,MX,2013,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Multiple Indicator Cluster Survey, 2015","Integrated household survey (IHS), 2015",Yes,2007,2013,2017
MHL,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,MH,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,MH,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Republic of the Marshall Islands Demographic and Health Survey, 2007",,,,,2017
MIC,Middle income,Middle income,Middle income,XP,,"Middle income group aggregate. Middle-income economies are those in which 2016 GNI per capita was between $1,006 and $12,235.",,,XP,,,,,,,,,,,,,,,,,,,,2016
MKD,Macedonia,"Macedonia, FYR",Former Yugoslav Republic of Macedonia,MK,Macedonian denar,,Europe & Central Asia,Upper middle income,MK,2005,,Value added at basic prices (VAB),IBRD,,,,Rolling,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey, 2011","Expenditure survey/budget survey (ES/BS), 2014",Yes,2007,2010,2014
MLI,Mali,Mali,Republic of Mali,ML,West African CFA franc,The new base year is 1999.,Sub-Saharan Africa,Low income,ML,1999,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2015; Malaria Indicator Survey, 2015","Integrated household survey (IHS), 2009/10",,,,2017
MLT,Malta,Malta,Republic of Malta,MT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN. The new reference year is 2010.",Middle East & North Africa,High income,MT,2010,,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,,Yes,2010,2009,2017
MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,MM,Myanmar kyat,Fiscal year end: March 31; reporting period for national accounts data: FY. Based on the government’s Planning Department and the IMF national accounts have been revised from 2010 to 2015. The new base year is 2010/11.,East Asia & Pacific,Lower middle income,MM,2010,,Value added at producer prices (VAP),IDA,,Country uses the 1968 System of National Accounts methodology,,2011,BPM6,Estimate,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2015",,2010,,2017
MNA,Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income),XQ,,,,,XQ,,,,,,,,,,,,,,,,,,,,2016
MNE,Montenegro,Montenegro,Montenegro,ME,Euro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Europe & Central Asia,Upper middle income,ME,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2013","Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,,2017
MNG,Mongolia,Mongolia,Mongolia,MN,Mongolian tugrik,,East Asia & Pacific,Lower middle income,MN,2010,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2010,"Multiple Indicator Cluster Survey, 2013/14","Living Standards Measurement Study Survey (LSMS), 2014",Yes,2011,2011,2017
MNP,Northern Mariana Islands,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MP,U.S. dollar,,East Asia & Pacific,High income,MP,,,,,,,,2011 (household consumption only).,,,,,,2010,,,,2007,,2017
MOZ,Mozambique,Mozambique,Republic of Mozambique,MZ,New Mozambican metical,,Sub-Saharan Africa,Low income,MZ,2009,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,1992–95,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2007,"AIDS Indicator Survey, 2015","Expenditure survey/budget survey (ES/BS), 2008/09",,2009/10,1973,2017
MRT,Mauritania,Mauritania,Islamic Republic of Mauritania,MR,Mauritanian ouguiya,Based on official statistics from the Ministry of Economic Affairs and Development and ONS – Office National des Statistique; the base year has been returned to 2004.,Sub-Saharan Africa,Lower middle income,MR,2004,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2013,"Multiple Indicator Cluster Survey, 2015","Integrated household survey (IHS), 2014",,,,2017
MUS,Mauritius,Mauritius,Republic of Mauritius,MU,Mauritian rupee,Authorities made significant revisions to the national accounts from 2006 to 2015.,Sub-Saharan Africa,Upper middle income,MU,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Integrated household survey (IHS), 2012",Yes,2014,2012,2017
MWI,Malawi,Malawi,Republic of Malawi,MW,Malawi kwacha,Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010.,Sub-Saharan Africa,Low income,MW,2010,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2008,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2010/11",,2006/07,2012,2017
MYS,Malaysia,Malaysia,Malaysia,MY,Malaysian ringgit,,East Asia & Pacific,Upper middle income,MY,2010,,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Estimate,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey, 2003","Income survey (IS), 2014",Yes,2015,2012,2017
NAC,North America,North America,North America,XU,,North America regional aggregate. There are no economies in North America classified as low or middle income.,,,XU,,,,,,,,,,,,,,,,,,,,2016
NAM,Namibia,Namibia,Republic of Namibia,NA,Namibian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,NA,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2009/10",,2014/15,2013,2017
NCL,New Caledonia,New Caledonia,New Caledonia,NC,CFP franc,,East Asia & Pacific,High income,NC,,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,,General trade system,,,2014,,,Yes,,,2017
NER,Niger,Niger,Republic of Niger,NE,West African CFA franc,Value added is measured in basic prices.,Sub-Saharan Africa,Low income,NE,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,1993,2011,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Living Standards Measurement Study, 2014","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014",,2004-08,2002,2017
NGA,Nigeria,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,,Sub-Saharan Africa,Lower middle income,NG,2010,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,1971–98,2011,BPM6,Estimate,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2006,"Malaria Indicator Survey, 2015","Integrated household survey (IHS), 2009/10",,2013,1996,2017
NIC,Nicaragua,Nicaragua,Republic of Nicaragua,NI,Nicaraguan gold cordoba,Country has 1994 as the base year and 2006 as the reference year. The country uses chain linked methodology.,Latin America & Caribbean,Lower middle income,NI,1994,2006,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,1965–95,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2005,"Reproductive Health Survey, 2006/2007","Living Standards Measurement Study Survey (LSMS), 2016",,2011,1985,2017
NLD,Netherlands,Netherlands,Kingdom of the Netherlands,NL,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,NL,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),"2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Income survey (IS), 2014",Yes,2010,2014,2017
NOR,Norway,Norway,Kingdom of Norway,NO,Norwegian krone,,Europe & Central Asia,High income,NO,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011. Population data compiled from administrative registers.,,"Income survey (IS), 2014",Yes,2010,2014,2017
NPL,Nepal,Nepal,Nepal,NP,Nepalese rupee,Fiscal year end: July 14; reporting period for national accounts data: FY.,South Asia,Low income,NP,2000/01,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Demographic and Health Survey, 2016","Living Standards Measurement Study Survey (LSMS), 2010/11",,2011/12,2011,2017
NRU,Nauru,Nauru,Republic of Nauru,NR,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,NR,2007,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,,,,2012,"Nauru Demographic and Health Survey, 2007",,Yes,,,
NZL,New Zealand,New Zealand,New Zealand,NZ,New Zealand dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,NZ,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,,General trade system,,,2013,,,Yes,2012,2012,2017
OED,OECD members,OECD members,OECD members,OE,,Aggregations include Lithuania.,,,OE,,,,,,,,,,,,,,,,,,,,2016
OMN,Oman,Oman,Sultanate of Oman,OM,Rial Omani,National Center for Statistics and Information revised national accounts from 2011 to 2015 based on the SNA 2008. Value added is in basic prices; and before 2011 in producer prices.,Middle East & North Africa,High income,OM,2010,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2010,"Multiple Indicator Cluster Survey, 2014",,,2012/13,2014,2017
OSS,Other small states,Other small states,Other small states,S4,,,,,S4,,,,,,,,,,,,,,,,,,,,2016
PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,PK,Pakistani rupee,Fiscal year end: June 30; reporting period for national accounts data: FY.,South Asia,Lower middle income,PK,2005/06,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1998,"Demographic and Health Survey, 2012/13","Integrated household survey (IHS), 2013/14",,2010,2006,2017
PAN,Panama,Panama,Republic of Panama,PA,Panamanian balboa,Based on government statistics national accounts have been revised from 2014. The country uses chain linked methodology.,Latin America & Caribbean,High income,PA,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2010,"Multiple Indicator Cluster Survey, 2013","Integrated household survey (IHS), 2016",,2011,2001,2017
PER,Peru,Peru,Republic of Peru,PE,Peruvian new sol,,Latin America & Caribbean,Upper middle income,PE,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1985–90,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Continuous Demographic and Health Survey, 2014","Integrated household survey (IHS), 2016",,2012,2011,2017
PHL,Philippines,Philippines,Republic of the Philippines,PH,Philippine peso,,East Asia & Pacific,Lower middle income,PH,2000,,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2015,"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2015",Yes,2012,2012,2017
PLW,Palau,Palau,Republic of Palau,PW,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.,East Asia & Pacific,High income,PW,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2015,,"Expenditure survey/budget survey (ES/BS), 2006",Yes,,,2017
PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,Based on revised data from the National Statistical Office - New base year 2013,East Asia & Pacific,Lower middle income,PG,2013,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,1989,2011 (household consumption only).,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Demographic and Health Survey, 2017","Integrated household survey (IHS), 2009/10",,,1987,2017
POL,Poland,Poland,Republic of Poland,PL,Polish zloty,,Europe & Central Asia,High income,PL,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,2013,2017
PRE,Pre-demographic dividend,Pre-demographic dividend,Pre-demographic dividend,V1,,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth.",,,V1,,,,,,,,,,,,,,,,,,,,2016
PRI,Puerto Rico,Puerto Rico,Puerto Rico,PR,U.S. dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,Latin America & Caribbean,High income,PR,1954,,Value added at producer prices (VAP),,,Country uses the 1968 System of National Accounts methodology,,,,,General trade system,,,2010,"Reproductive Health Survey, 1995/96",,Yes,2012,2006,
PRK,Dem. People's Rep. Korea,"Korea, Dem. People's Rep.",Democratic People's Republic of Korea,KP,Democratic People's Republic of Korean won,,East Asia & Pacific,Low income,KP,,,,,,,,,,,,,,2008,"Multiple Indicator Cluster Survey, 2009",,,,,2016
PRT,Portugal,Portugal,Portuguese Republic,PT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,PT,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2011,,,Yes,2009,2014,2017
PRY,Paraguay,Paraguay,Republic of Paraguay,PY,Paraguayan guarani,,Latin America & Caribbean,Upper middle income,PY,1994,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Reproductive Health Survey, 2008","Integrated household survey (IHS), 2015",,2008,2010,2017
PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,Israeli new shekel,WB-3 code changed from WBG to PSE to align with ISO code. National accounts local currency data are reported in U.S. dollars.,Middle East & North Africa,Lower middle income,GZ,2015,,Value added at basic prices (VAB),,,,,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2011",,2010,2013,
PSS,Pacific island small states,Pacific island small states,Pacific island small states,S2,,Pacific island small states aggregate.,,,S2,,,,,,,,,,,,,,,,,,,,2016
PST,Post-demographic dividend,Post-demographic dividend,Post-demographic dividend,V4,,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.,,,V4,,,,,,,,,,,,,,,,,,,,2016
PYF,French Polynesia,French Polynesia,French Polynesia,PF,CFP franc,,East Asia & Pacific,High income,PF,2005,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,,Special trade system,,,2012,,,Yes,,,2017
QAT,Qatar,Qatar,State of Qatar,QA,Qatari riyal,,Middle East & North Africa,High income,QA,2013,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2015,"Multiple Indicator Cluster Survey, 2012",,Yes,,2013,2017
ROU,Romania,Romania,Romania,RO,New Romanian leu,WB-3 code changed from ROM to ROU to align with ISO code.,Europe & Central Asia,Upper middle income,RO,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,"1987–89, 1992",Rolling,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Romania Reproductive Health Survey, 2004","Expenditure survey/budget survey (ES/BS), 2013",Yes,2010,2013,2017
RUS,Russia,Russian Federation,Russian Federation,RU,Russian ruble,,Europe & Central Asia,Upper middle income,RU,2016,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1987–95,2011,BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Russian Federation Reproductive Health Survey, 2011","Expenditure survey/budget survey (ES/BS), 2016",Yes,2006,2014,2017
RWA,Rwanda,Rwanda,Republic of Rwanda,RW,Rwandan franc,The New Base Year is 2014.,Sub-Saharan Africa,Low income,RW,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,1994,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2014/15","Integrated household survey (IHS), 2013/14",,2013,1999,2017
SAS,South Asia,South Asia,South Asia,8S,,,,,8S,,,,,,,,,,,,,,,,,,,,2016
SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,SA,Saudi Arabian riyal,Based on data from the Saudi Central Department of Statistics and Information under the authority of the Ministry of Economy and Planning.,Middle East & North Africa,High income,SA,2010,,Value added at producer prices (VAP),,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2010,"Demographic survey, 2007",,,2010,2006,2017
SDN,Sudan,Sudan,Republic of the Sudan,SD,Sudanese pound,"Demographic data (total population, life expectancy, fertility, child mortality, migration), education series, and HIV prevalence are reported separately for Sudan and South Sudan; see specific notes for other series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan generally include South Sudan to 2011 unless otherwise noted. External debt data and land-related data (including population density, but excluding surface area after 2010) for all years include South Sudan.",Sub-Saharan Africa,Lower middle income,SD,1996,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,,2011,BPM6,Preliminary,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2008,"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009",,2015,2001,2017
SEN,Senegal,Senegal,Republic of Senegal,SN,West African CFA franc,,Sub-Saharan Africa,Low income,SN,1999,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2013,"Continuous Demographic and Health Survey, 2015","Priority survey (PS), 2011/12",,2014,2012,2017
SGP,Singapore,Singapore,Republic of Singapore,SG,Singapore dollar,Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008.,East Asia & Pacific,High income,SG,2010,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010. Population data compiled from administrative registers.,"National Health Survey, 2010",,Yes,,2014,2017
