Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
"JPN","Japan","Japan","Japan","JP","Japanese yen","Fiscal year end: March 31; reporting period for national accounts data: CY.","East Asia & Pacific","High income","JP","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2020 (expected)",,"Integrated household survey (IHS), 2008","Yes","2010","2012","2018",
"KAZ","Kazakhstan","Kazakhstan","Republic of Kazakhstan","KZ","Kazakh tenge",,"Europe & Central Asia","Upper middle income","KZ","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2015","Expenditure survey/budget survey (ES/BS), 2017",,"2006-2007","2013","2018",
"KEN","Kenya","Kenya","Republic of Kenya","KE","Kenyan shilling","Fiscal year end: June 30; reporting period for national accounts data: CY.","Sub-Saharan Africa","Lower middle income","KE","2016",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2009","Malaria Indicator Survey, 2020","Integrated household survey (IHS), 2015/16",,,"2013","2018",
"KGZ","Kyrgyz Republic","Kyrgyz Republic","Kyrgyz Republic","KG","Kyrgyz som",,"Europe & Central Asia","Lower middle income","KG","Original chained constant price data are rescaled.","2019","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015","Yes",,"2012","2018",
"KHM","Cambodia","Cambodia","Kingdom of Cambodia","KH","Cambodian riel","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1963-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","East Asia & Pacific","Lower middle income","KH","2014",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2019","Demographic and Health Survey, 2020","Integrated household survey (IHS), 2012",,"2013","2000","2016",
"KIR","Kiribati","Kiribati","Republic of Kiribati","KI","Australian dollar",,"East Asia & Pacific","Lower middle income","KI","2019",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2015","Multiple Indicator Cluster Survey, 2018/19","Expenditure survey/budget survey (ES/BS), 2006",,,,"2016",
"KNA","St. Kitts and Nevis","St. Kitts and Nevis","St. Kitts and Nevis","KN","East Caribbean dollar",,"Latin America & Caribbean","High income","KN","2006",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011",,,"Yes",,,"2017",
"KOR","Korea","Korea, Rep.","Republic of Korea","KR","Korean won",,"East Asia & Pacific","High income","KR","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2020 (expected)",,"Expenditure survey/budget survey (ES/BS), 2012","Yes","2010, 2015","2014","2018",
"KWT","Kuwait","Kuwait","State of Kuwait","KW","Kuwaiti dinar",,"Middle East & North Africa","High income","KW","2010",,"Value added at basic prices (VAB)",,,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Family Health Survey, 1996",,"Yes",,"2013","2018",
"LAC","Latin America & Caribbean (excluding high income)","Latin America & Caribbean (excluding high income)","Latin America & Caribbean (excluding high income)","XJ",,,,,"XJ",,,,,,,,,,,,,,,,,,,,,
"LAO","Lao PDR","Lao PDR","Lao People's Democratic Republic","LA","Lao kip","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","East Asia & Pacific","Lower middle income","LA","2012",,"Value added at basic prices (VAB)","IDA",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2015","Multiple Indicator Cluster Survey, 2017","Expenditure survey/budget survey (ES/BS), 2012",,"2010-2011","1999","2016",
"LBN","Lebanon","Lebanon","Lebanese Republic","LB","Lebanese pound","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1984-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Middle East & North Africa","Lower middle income","LB","2010",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","1943","Family Health Survey, 2004","Expenditure survey/budget survey (ES/BS), 2011/12","Yes","2010","2007","2018",
"LBR","Liberia","Liberia","Republic of Liberia","LR","Liberian dollar","National accounts data are provided in the US dollar.","Sub-Saharan Africa","Low income","LR","2016",,"Value added at producer prices (VAP)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual",,"Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Demographic and Health Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2014",,,,,
"LBY","Libya","Libya","Socialist People's Libyan Arab Jamahiriya","LY","Libyan dinar",,"Middle East & North Africa","Upper middle income","LY","2013",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,,,"Enhanced General Data Dissemination System (e-GDDS)","2006","STEPS Risk Factor Survey, 2010",,,,"1980","2010",
"LCA","St. Lucia","St. Lucia","St. Lucia","LC","East Caribbean dollar",,"Latin America & Caribbean","Upper middle income","LC","2018",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2016","Yes","2007","1997","2017",
"LCN","Latin America & Caribbean","Latin America & Caribbean","Latin America & Caribbean","ZJ",,,,,"ZJ",,,,,,,,,,,,,,,,,,,,,
"LDC","Least developed countries: UN classification","Least developed countries: UN classification","Least developed countries: UN classification","XL",,,,,"XL",,,,,,,,,,,,,,,,,,,,,
"LIC","Low income","Low income","Low income","XM",,"Low income group aggregate. Low-income economies are those in which 2023 Atlas GNI per capita was $1,145 or less.",,,"XM",,,,,,,,,,,,,,,,,,,,,
"LIE","Liechtenstein","Liechtenstein","Principality of Liechtenstein","LI","Swiss franc",,"Europe & Central Asia","High income","LI","1998",,"Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,,,"Special trade system",,,"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,,"Yes",,,,
"LKA","Sri Lanka","Sri Lanka","Democratic Socialist Republic of Sri Lanka","LK","Sri Lankan rupee",,"South Asia","Lower middle income","LK","2015",,"Value added at basic prices (VAB)","IDA",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2012","Demographic and Health Survey, 2006/07","Expenditure survey/budget survey (ES/BS), 2016","Yes","2013-2014","2012","2017",
"LMC","Lower middle income","Lower middle income","Lower middle income","XN",,"Lower middle income group aggregate. Lower-middle-income economies are those in which Atlas 2023 GNI per capita was between $1,146 and $4,515.",,,"XN",,,,,,,,,,,,,,,,,,,,,
"LMY","Low & middle income","Low & middle income","Low & middle income","XO",,"Low and middle-income group aggregate. Low and middle-income economies are those in which Atlas 2023 GNI per capita was less than $14,005.",,,"XO",,,,,,,,,,,,,,,,,,,,,
"LSO","Lesotho","Lesotho","Kingdom of Lesotho","LS","Lesotho loti","Fiscal year end: March 31; reporting period for national accounts data: CY.","Sub-Saharan Africa","Lower middle income","LS","2012",,"Value added at basic prices (VAB)","IDA",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2016","Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 2010",,"2010","1985","2017",
"LTE","Late-demographic dividend","Late-demographic dividend","Late-demographic dividend","V3",,"Late-dividend countries are mostly upper middle-income countries. Fertility rates are typically above replacement levels of 2.1 births per woman but continue to decline with shrinking working-age shares and rapid aging.",,,"V3",,,,,,,,,,,,,,,,,,,,,
"LTU","Lithuania","Lithuania","Republic of Lithuania","LT","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","LT","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"LUX","Luxembourg","Luxembourg","Grand Duchy of Luxembourg","LU","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","LU","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011",,"Income survey (IS), 2015","Yes","2010","2013","2018",
"LVA","Latvia","Latvia","Republic of Latvia","LV","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.","Europe & Central Asia","High income","LV","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015","Yes","2010","2013","2018",
"MAC","Macao SAR, China","Macao SAR, China","Macao Special Administrative Region of the People's Republic of China","MO","Macao pataca","On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.","East Asia & Pacific","High income","MO","Original chained constant price data are rescaled.","2022","Value added at producer prices (VAP)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2016",,,"Yes",,"2013","2016",
"MAF","St. Martin (French part)","St. Martin (French part)","St. Martin (French part)","MF","Euro",,"Latin America & Caribbean","High income","MF","2014",,"Value added at producer prices (VAP)",,,"Country uses the 2008 System of National Accounts methodology",,,,,,,,"2015",,,"Yes",,,,
"MAR","Morocco","Morocco","Kingdom of Morocco","MA","Moroccan dirham",,"Middle East & North Africa","Lower middle income","MA","Original chained constant price data are rescaled.","2014","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2014","Morocco National Survey on Population and Family Health, 2010/11","Expenditure survey/budget survey (ES/BS), 2013",,,"2013","2018",
"MCO","Monaco","Monaco","Principality of Monaco","MC","Euro",,"Europe & Central Asia","High income","MC","Original chained constant price data are rescaled.","2020","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,,,,,,"2016. Population figures compiled from administrative registers.",,,"Yes",,,,
"MDA","Moldova","Moldova","Republic of Moldova","MD","Moldovan leu","Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.","Europe & Central Asia","Upper middle income","MD","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2014","Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2017","Yes","2011","2012","2018",
"MDG","Madagascar","Madagascar","Republic of Madagascar","MG","Malagasy ariary",,"Sub-Saharan Africa","Low income","MG","2007",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2018","Demographic and Health Survey, 2021","Priority survey (PS), 2012",,,"2006","2018",
"MDV","Maldives","Maldives","Republic of Maldives","MV","Maldivian rufiyaa",,"South Asia","Upper middle income","MV","2019",,"Value added at basic prices (VAB)","IDA",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2014","Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2009/10","Yes",,,"2018",
"MEA","Middle East & North Africa","Middle East & North Africa","Middle East & North Africa","ZQ",,"Middle East and North Africa regional aggregate (includes all income levels).",,,"ZQ",,,,,,,,,,,,,,,,,,,,,
"MEX","Mexico","Mexico","United Mexican States","MX","Mexican peso",,"Latin America & Caribbean","Upper middle income","MX","2018",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2015","Integrated household survey (IHS), 2016","Yes","2007","2013","2018",
"MHL","Marshall Islands","Marshall Islands","Republic of the Marshall Islands","MH","U.S. dollar","Fiscal year ends on September 30; reporting period for national accounts data: FY.","East Asia & Pacific","Upper middle income","MH","2014/15",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,,"Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Republic of the Marshall Islands Demographic and Health Survey, 2007",,,,,,
"MIC","Middle income","Middle income","Middle income","XP",,"Middle income group aggregate. Middle-income economies are those in which 2023 Atlas GNI per capita was between $1,146 and $14,005.",,,"XP",,,,,,,,,,,,,,,,,,,,,
"MKD","North Macedonia","North Macedonia","Republic of North Macedonia","MK","Macedonian denar",,"Europe & Central Asia","Upper middle income","MK","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2020 (expected)","Multiple Indicator Cluster Survey, 2018/19","Income survey (IS), 2017","Yes","2007","2010","2018",
"MLI","Mali","Mali","Republic of Mali","ML","West African CFA franc",,"Sub-Saharan Africa","Low income","ML","1999",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Demographic and Health Survey, 2018","Integrated household survey (IHS), 2009/10",,,,"2017",
"MLT","Malta","Malta","Republic of Malta","MT","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN.","Middle East & North Africa","High income","MT","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011",,"Income survey (IS), 2015","Yes","2010","2009","2018",
"MMR","Myanmar","Myanmar","Republic of the Union of Myanmar","MM","Myanmar kyat","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	  

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2014. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","East Asia & Pacific","Lower middle income","MM","2015",,"Value added at producer prices (VAP)","IDA",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2014","Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2015",,"2010",,"2018",
"MNA","Middle East & North Africa (excluding high income)","Middle East & North Africa (excluding high income)","Middle East & North Africa (excluding high income)","XQ",,,,,"XQ",,,,,,,,,,,,,,,,,,,,,
"MNE","Montenegro","Montenegro","Montenegro","ME","Euro","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.","Europe & Central Asia","Upper middle income","ME","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014","Yes","2010",,"2018",
"MNG","Mongolia","Mongolia","Mongolia","MN","Mongolian tugrik","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1991-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","East Asia & Pacific","Upper middle income","MN","2015",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020","Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2016","Yes","2011","2011","2018",
"MNP","Northern Mariana Islands","Northern Mariana Islands","Commonwealth of the Northern Mariana Islands","MP","U.S. dollar",,"East Asia & Pacific","High income","MP","2012",,"Value added at basic prices (VAB)",,,"Country uses the 1968 System of National Accounts methodology",,,,,,,,"2020 (expected)",,,"Yes","2007",,,
"MOZ","Mozambique","Mozambique","Republic of Mozambique","MZ","New Mozambican metical",,"Sub-Saharan Africa","Low income","MZ","2019",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2017","Malaria Indicator Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014",,"2009-2010","1973","2018",
"MRT","Mauritania","Mauritania","Islamic Republic of Mauritania","MR","Mauritanian ouguiya","National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya)","Sub-Saharan Africa","Lower middle income","MR","2022",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2013","Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2014",,,,"2017",
"MUS","Mauritius","Mauritius","Republic of Mauritius","MU","Mauritian rupee",,"Sub-Saharan Africa","Upper middle income","MU","2018",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","World Health Survey, 2003","Integrated household survey (IHS), 2012","Yes","2014","2012","2018",
"MWI","Malawi","Malawi","Republic of Malawi","MW","Malawi kwacha",,"Sub-Saharan Africa","Low income","MW","2017",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2018","Fifth Integrated Household Survey 2019-2020; Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 2016",,"2006-2007","2012","2017",
"MYS","Malaysia","Malaysia","Malaysia","MY","Malaysian ringgit",,"East Asia & Pacific","Upper middle income","MY","2015",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","World Health Survey, 2003","Income survey (IS), 2015","Yes","2015. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.","2012","2018",
"NAC","North America","North America","North America","XU",,"North America regional aggregate. There are no economies in North America classified as low or middle income.",,,"XU",,,,,,,,,,,,,,,,,,,,,
"NAM","Namibia","Namibia","Republic of Namibia","NA","Namibian dollar","Fiscal year end: March 31; reporting period for national accounts data: CY.","Sub-Saharan Africa","Upper middle income","NA","2015",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2015",,"2013-2014","2013","2018",
"NCL","New Caledonia","New Caledonia","New Caledonia","NC","CFP franc",,"East Asia & Pacific","High income","NC","2017",,"Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system",,,"2019",,,"Yes",,,"2015",
"NER","Niger","Niger","Republic of Niger","NE","West African CFA franc",,"Sub-Saharan Africa","Low income","NE","2015",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2012","Demographic and Health Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014",,"2004-2008","2002","2016",
"NGA","Nigeria","Nigeria","Federal Republic of Nigeria","NG","Nigerian naira","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1970-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Lower middle income","NG","2010",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Living Standards Survey 2018-2019; General Household Survey, Panel 2018-2019","Integrated household survey (IHS), 2009/10",,"2007. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.","1996","2018",
"NIC","Nicaragua","Nicaragua","Republic of Nicaragua","NI","Nicaraguan gold cordoba","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Latin America & Caribbean","Lower middle income","NI","Original chained constant price data are rescaled.","2006","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Reproductive Health Survey, 2006/2007","Living Standards Measurement Study Survey (LSMS), 2016",,"2011","1985","2018",
"NLD","Netherlands","Netherlands","Kingdom of the Netherlands","NL","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","NL","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"NOR","Norway","Norway","Kingdom of Norway","NO","Norwegian krone",,"Europe & Central Asia","High income","NO","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. Population figures compiled from administrative registers.",,"Income survey (IS), 2014","Yes","2010","2014","2018",
